Crime Type,Garda Station,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 ,"Edenderry, Offaly Division",0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
 ,"Rhode, Offaly Division",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Tullamore, Offaly Division",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
 ,"Ashbourne, Meath Division",0,0,0,0,0,0,1,1,1,0,0,1,0,1,0
 ,"Duleek, Meath Division",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 ,"Dunboyne, Meath Division",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
 ,"Dunshaughlin, Meath Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Laytown, Meath Division",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
 ,"Baile AÅtha Bui, Meath Division",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 ,"Kells Ceanannus Mor, Meath Division",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
 ,"Oldcastle, Meath Division",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
 ,"Navan, Meath Division",0,0,0,0,1,0,0,1,0,1,1,2,1,3,0
 ,"Nobber, Meath Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Slane, Meath Division",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
 ,"Ballivor, Meath Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Enfield, Meath Division",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 ,"Longwood, Meath Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Summerhill, Meath Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Trim, Meath Division",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 ,"Glasson, Westmeath Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Baltinglass, Wicklow Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Blessington, Wicklow Division",0,0,1,1,0,0,0,0,1,1,0,0,1,1,0
 ,"Carnew, Wicklow Division",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 ,"Dunlavin, Wicklow Division",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
 ,"Shillelagh, Wicklow Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Tinahely, Wicklow Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Bray, Wicklow Division",1,1,0,0,0,0,0,0,0,2,0,1,0,1,1
 ,"Enniskerry, Wicklow Division",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 ,"Greystones, Wicklow Division",0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
 ,"Newtownmountkennedy, Wicklow Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Arklow, Wicklow Division",2,1,0,0,2,0,1,0,0,0,1,1,0,0,0
 ,"Ashford, Wicklow Division",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 ,"Aughrim, Wicklow Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Avoca, Wicklow Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Rathdrum, Wicklow Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Roundwood, Wicklow Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Wicklow, Wicklow Division",0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
 ,"Athlone, Westmeath Division",0,1,2,0,2,0,1,1,0,0,0,0,4,0,1
 ,"Ballymore, Westmeath Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kilbeggan, Westmeath Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Moate, Westmeath Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ballynacargy, Westmeath Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Castlepollard, Westmeath Division",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Delvin, Westmeath Division",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
 ,"Killucan, Westmeath Division",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 ,"Kinnegad, Westmeath Division",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 ,"Mullingar, Westmeath Division",0,2,2,2,1,0,1,3,0,0,1,0,1,0,0
 ,"Multyfarnham, Westmeath Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Rochfortbridge, Westmeath Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Athy, Kildare Division",0,0,0,1,0,0,1,1,3,0,0,2,0,2,1
 ,"Castledermot, Kildare Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kildare, Kildare Division",1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
 ,"Monasterevin, Kildare Division",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ,"Newbridge, Kildare Division",1,0,0,1,2,0,0,1,0,1,0,0,3,0,0
 ,"Rathangan, Kildare Division",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 ,"Carbury, Kildare Division",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 ,"Celbridge, Kildare Division",0,0,1,0,1,0,2,0,1,1,0,0,0,1,0
 ,"Kilcock, Kildare Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Leixlip, Kildare Division",1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
 ,"Maynooth, Kildare Division",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
 ,"Clane, Kildare Division",0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
 ,"Kilcullen, Kildare Division",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 ,"Naas, Kildare Division",0,0,0,0,0,0,5,2,0,1,2,1,0,1,0
 ,"Robertstown, Kildare Division",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 ,"Ardfinnan, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ballyporeen, Tipperary Division",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ,"Cahir, Tipperary Division",0,0,0,0,0,1,0,0,1,1,1,0,0,0,1
 ,"Cashel, Tipperary Division",0,0,0,0,0,0,0,1,0,4,1,0,0,0,2
 ,"Clogheen, Co. Tipperary, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Carrick-On-Suir, Tipperary Division",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
 ,"Carrig na Bhfear, Cork City Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Clonmel, Tipperary Division",2,0,1,1,1,1,1,0,1,2,0,1,0,4,2
 ,"Fethard, Tipperary Division",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
 ,"Kilsheelan, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Mullinahone, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ballingarry North, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Borrisokane, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Cloughjordan, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Dolla, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Lorrha, Tipperary Division",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Nenagh, Tipperary Division",1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
 ,"Newport, Co Tipperary, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Portroe, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Toomevara, Tipperary Division",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Borrisoleigh, Tipperary Division",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
 ,"Moneygall, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Moyne, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Roscrea, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
 ,"Shevry, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Templederry, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Templemore, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Templetuohy, Tipperary Division",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 ,"Ballingarry South, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Holycross, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Killenaule, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Littleton, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Thurles, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
 ,"Bansha, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Cappawhite, Tipperary Division",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 ,"Emly, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Golden, Tipperary Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Tipperary, Tipperary Division",0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
 ,"Blackwater, Wexford Division",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
 ,"Clonroche, Wexford Division",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 ,"Enniscorthy, Wexford Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ferns, Wexford Division",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
 ,"Oulart, Wexford Division",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 ,"Oylegate, Wexford Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Bunclody, Wexford Division",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Courtown Harbour, Wexford Division",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
 ,"Gorey, Wexford Division",1,1,0,0,0,0,1,0,0,2,0,0,0,1,1
 ,"Ballycullane, Wexford Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Campile, Wexford Division",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ,"Carrickbyrne, Wexford Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Carrick-on-Bannow, Wexford Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Duncannon, Wexford Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"New Ross, Wexford Division",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
 ,"Castlebridge, Wexford Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Glynn, Wexford Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kilmore Quay, Wexford Division",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
 ,"Rosslare Harbour, Wexford Division",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 ,"Rosslare Strand, Wexford Division",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Taghmon, Wexford Division",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Wexford, Wexford Division",0,2,1,0,2,0,0,2,0,0,2,0,0,1,1
 ,"Ballon, Carlow Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Borris, Carlow Division",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 ,"Carlow, Carlow Division",3,0,0,1,1,1,1,0,1,0,0,1,0,1,0
 ,"Hacketstown, Carlow Division",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ,"Muine Bheag, Carlow Division",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 ,"Myshall, Carlow Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Rathvilly, Carlow Division",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 ,"Tullow, Carlow Division",0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
 ,"Callan, Kilkenny Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Castlecomer, Kilkenny Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Freshford, Kilkenny Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kilkenny, Kilkenny Division",0,1,0,0,0,0,2,1,1,0,1,1,0,0,0
 ,"Urlingford, Kilkenny Division",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ,"Ballyhale, Kilkenny Division",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 ,"Bennettsbridge, Kilkenny Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Glenmore, Kilkenny Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Goresbridge, Kilkenny Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Graiguenamanagh, Kilkenny Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kilmacow, Kilkenny Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 ,"Kilmoganny, Kilkenny Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Mooncoin, Kilkenny Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Mullinavat, Kilkenny Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Piltown, Kilkenny Division",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
 ,"Stoneyford, Kilkenny Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Thomastown, Kilkenny Division",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
 ,"Aglish, Waterford Division",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 ,"An Rinn, Waterford Division",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 ,"Ardmore, Waterford Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ballymacarberry, Waterford Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Cappoquin, Waterford Division",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
 ,"Dungarvan, Waterford Division",0,1,0,1,1,1,0,2,1,1,0,0,1,0,0
 ,"Lismore, Waterford Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Tallow, Waterford Division",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kill, Co Waterford, Waterford Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Kilmacthomas, Waterford Division",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 ,"Kilmeaden, Waterford Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Leamybrien, Waterford Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Portlaw, Waterford Division",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 ,"Rathgormack, Co Waterford, Waterford Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Tramore, Waterford Division",0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
 ,"Dunmore East, Waterford Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ferrybank, Waterford Division",0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
 ,"Passage East, Waterford Division",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 ,"Waterford, Waterford Division",2,1,0,1,0,0,1,2,0,1,2,2,5,3,1
 ,"Donnybrook, D.M.R. South Central Division",0,0,0,0,1,0,1,2,1,3,0,2,0,0,0
 ,"Irishtown, D.M.R. South Central Division",0,1,2,1,0,1,1,3,0,2,3,1,1,0,1
 ,"Pearse Street, D.M.R. South Central Division",1,1,1,1,4,2,5,3,8,3,2,2,2,0,4
 ,"Kevin Street, D.M.R. South Central Division",3,0,3,4,0,0,2,1,1,0,1,1,2,2,2
 ,"Kilmainham, D.M.R. South Central Division",1,0,3,0,2,1,2,1,1,3,2,3,2,1,3
 ,"Bridewell Dublin, D.M.R. North Central Division",1,4,3,4,0,0,2,0,1,3,0,3,0,1,1
 ,"Fitzgibbon Street, D.M.R. North Central Division",2,0,0,1,0,0,0,2,1,1,3,0,4,1,0
 ,"Mountjoy, D.M.R. North Central Division",1,0,0,2,2,1,1,2,1,0,3,1,1,0,1
 ,"Store Street, D.M.R. North Central Division",3,1,1,1,1,3,3,1,1,4,4,2,4,2,5
 ,"Balbriggan, D.M.R. Northern Division",2,1,0,0,1,0,1,1,0,0,1,3,0,7,3
 ,"Garristown, D.M.R. Northern Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Lusk, D.M.R. Northern Division",0,0,0,0,0,0,2,0,0,0,0,0,0,1,2
 ,"Skerries, D.M.R. Northern Division",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ,"Ballymun, D.M.R. Northern Division",0,3,1,0,1,2,1,0,3,1,1,1,1,0,1
 ,"Dublin Airport, D.M.R. Northern Division",1,0,0,0,0,2,21,7,8,3,6,6,4,1,7
 ,"Santry, D.M.R. Northern Division",1,5,0,1,0,0,1,2,1,0,1,0,0,2,1
 ,"Coolock, D.M.R. Northern Division",0,1,3,0,0,1,2,3,0,0,2,2,3,2,1
 ,"Malahide, D.M.R. Northern Division",0,0,1,0,0,0,0,0,1,0,0,1,2,0,0
 ,"Swords, D.M.R. Northern Division",0,0,2,0,4,1,0,2,1,3,2,0,3,2,3
 ,"Clontarf, D.M.R. Northern Division",1,0,0,0,1,0,0,0,0,0,0,2,0,0,1
 ,"Howth, D.M.R. Northern Division",0,0,0,1,0,1,0,0,0,0,0,2,0,1,0
 ,"Raheny, D.M.R. Northern Division",1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
 ,"Crumlin, D.M.R. Southern Division",0,0,1,0,2,0,0,0,0,0,0,3,9,0,1
 ,"Sundrive Road, D.M.R. Southern Division",0,0,0,1,0,0,0,0,0,0,0,1,2,0,1
 ,"Rathfarnham, D.M.R. Southern Division",2,0,1,1,3,0,4,0,1,0,0,0,1,0,0
 ,"Tallaght, D.M.R. Southern Division",3,2,1,4,1,2,5,5,1,4,3,2,1,3,4
 ,"Rathmines, D.M.R. Southern Division",0,1,1,0,1,0,1,0,2,2,0,1,0,1,2
 ,"Terenure, D.M.R. Southern Division",0,1,0,0,2,0,0,1,0,0,0,1,0,0,2
 ,"Blackrock, Co Dublin, D.M.R. Eastern Division",0,1,0,0,1,0,0,0,0,0,0,0,1,2,1
 ,"Dundrum, D.M.R. Eastern Division",0,0,1,0,0,0,1,2,1,2,2,0,0,2,2
 ,"Cabinteely, D.M.R. Eastern Division",0,0,1,1,0,0,2,1,2,0,1,1,1,0,1
 ,"Dun Laoghaire, D.M.R. Eastern Division",1,1,0,1,1,0,2,1,0,0,0,0,6,0,0
 ,"Shankill, D.M.R. Eastern Division",1,0,1,0,0,1,0,1,1,0,0,3,2,1,0
 ,"Blanchardstown, D.M.R. Western Division",2,1,3,2,3,3,4,5,2,4,4,2,8,5,5
 ,"Cabra, D.M.R. Western Division",1,0,0,0,3,0,2,0,0,0,0,0,1,5,0
 ,"Finglas, D.M.R. Western Division",0,2,2,1,2,2,2,1,2,2,0,0,4,1,2
 ,"Ballyfermot, D.M.R. Western Division",0,0,1,1,0,0,0,3,0,3,1,2,1,0,0
 ,"Clondalkin, D.M.R. Western Division",1,1,3,0,0,2,2,2,2,0,1,2,1,2,0
 ,"Rathcoole, D.M.R. Western Division",0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
 ,"Lucan, D.M.R. Western Division",4,2,2,1,1,0,3,0,1,3,0,3,1,2,1
 ,"Ronanstown, D.M.R. Western Division",2,4,2,1,1,1,2,0,1,0,1,0,1,1,0
"Robbery, extortion and hijacking offences","Bailieboro, Cavan Division",0,1,0,1,2,0,0,2,1,0,0,1,1,0,0
 ,"Ballyjamesduff, Cavan Division",0,0,1,1,0,2,0,1,1,0,0,0,0,0,1
 ,"Cootehill, Cavan Division",1,0,1,0,0,2,1,1,0,1,0,1,1,0,2
 ,"Kingscourt, Cavan Division",0,1,0,0,0,0,0,1,0,1,1,2,1,2,2
 ,"Mullagh, Cavan Division",0,0,1,1,0,0,0,0,2,1,2,0,0,0,0
 ,"Shercock, Cavan Division",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
 ,"Virginia, Cavan Division",1,0,0,0,1,0,2,2,0,0,1,0,0,1,0
 ,"Ballyconnell, Cavan Division",0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
 ,"Belturbet, Cavan Division",0,1,1,2,1,0,0,2,0,0,0,0,0,1,0
 ,"Blacklion, Cavan Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Dowra, Cavan Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Killeshandra, Cavan Division",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
 ,"Swanlinbar, Cavan Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Arva, Cavan Division",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
 ,"Ballinagh, Cavan Division",1,2,0,0,3,0,1,0,3,2,0,2,1,0,0
 ,"Cavan, Cavan Division",4,0,1,0,2,1,1,2,2,7,2,0,2,2,0
 ,"Kilnaleck, Cavan Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Clones, Monaghan Division",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
 ,"Emyvale, Monaghan Division",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
 ,"Monaghan, Monaghan Division",1,3,1,2,13,3,3,6,0,4,3,5,10,4,5
 ,"Scotstown, Monaghan Division",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Ballybay, Monaghan Division",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0
 ,"Carrickmacross, Monaghan Division",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Castleblayney, Monaghan Division",1,2,0,1,1,1,1,2,1,2,2,1,1,2,3
 ,"Rockcorry, Monaghan Division",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
 ,"Ballintra, Donegal Division",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
 ,"Ballyshannon, Donegal Division",0,0,0,0,2,0,1,1,0,0,0,1,0,0,0
 ,"Bundoran, Donegal Division",0,0,0,0,1,3,1,1,2,1,0,0,0,1,0
 ,"Donegal Town, Donegal Division",3,0,0,0,0,0,0,0,1,0,0,0,0,0,1
 ,"Mountcharles, Donegal Division",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 ,"Na Cealla Beaga, Donegal Division",0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
 ,"Pettigo, Donegal Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Buncrana, Donegal Division",0,0,0,0,0,0,0,0,3,2,3,0,5,2,0
 ,"Burnfoot, Donegal Division",2,2,1,2,0,2,0,0,1,3,1,1,0,1,1
 ,"Carndonagh, Donegal Division",0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
 ,"Clonmany, Donegal Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Moville, Donegal Division",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
 ,"Muff, Donegal Division",2,0,1,2,0,0,1,1,1,5,1,1,1,0,0
 ,"Ballybofey, Donegal Division",0,2,0,1,1,0,0,2,2,0,0,1,3,2,0
 ,"Carrigans, Donegal Division",0,0,2,1,0,3,2,3,2,2,1,0,2,1,0
 ,"Castlefin, Donegal Division",1,1,0,4,4,1,0,1,0,1,0,2,0,1,0
 ,"Convoy, Donegal Division",1,0,1,0,0,1,0,0,1,1,1,0,0,0,0
 ,"Letterkenny, Donegal Division",5,3,3,8,6,3,7,6,7,6,10,9,7,9,2
 ,"Lifford, Donegal Division",1,3,1,0,1,0,1,0,1,2,2,0,1,0,1
 ,"Newtowncunningham, Donegal Division",1,0,0,1,2,2,1,2,2,1,2,2,1,0,0
 ,"Raphoe, Donegal Division",1,0,1,0,3,2,1,0,0,1,1,0,2,0,1
 ,"An Craoslach, Donegal Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"An Fail Carrach, Donegal Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Carraig Airt, Donegal Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Dun Fionnachaid, Donegal Division",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 ,"Kerrykeel, Donegal Division",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
 ,"Kilmacrennan, Donegal Division",0,0,0,1,0,2,0,0,0,0,0,0,0,1,0
 ,"Milford, Co Donegal, Donegal Division",0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
 ,"Ramelton, Donegal Division",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
 ,"Rathmullen, Donegal Division",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 ,"Ailt an Chorraiin, Donegal Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 ,"An Bun Beag, Donegal Division",0,0,1,0,1,0,3,0,0,0,0,0,0,0,0
 ,"An Charraig, Donegal Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"An Clochain Liath, Donegal Division",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 ,"Ard an Raitha, Donegal Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Clogher, Donegal Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Na Gleannta, Donegal Division",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
 ,"Ballymote, Sligo Division",0,2,0,0,0,0,0,0,0,0,3,0,0,1,0
 ,"Enniscrone, Sligo Division",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
 ,"Gurteen, Leitrim Division",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
 ,"Riverstown, Sligo Division",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
 ,"Tubbercurry, Sligo Division",1,0,0,0,0,0,0,1,0,2,0,1,0,0,1
 ,"Ballinamore, Leitrim Division",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ,"Carrick-On-Shannon, Leitrim Division",0,0,0,0,0,1,4,1,0,1,0,0,0,1,0
 ,"Carrigallen, Leitrim Division",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 ,"Drumshambo, Leitrim Division",0,1,1,0,0,0,0,0,0,0,1,0,1,0,0
 ,"Kinlough, Leitrim Division",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
 ,"Manorhamilton, Leitrim Division",0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
 ,"Mohill, Leitrim Division",0,0,0,0,0,1,1,0,0,0,0,1,0,0,2
 ,"Collooney, Sligo Division",0,1,0,0,0,1,1,2,0,2,0,0,0,0,0
 ,"Coolaney, Sligo Division",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 ,"Grange, Sligo Division",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
