,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Ballygeary (Rosslare  Harbour), Wexford",1041,1041,1041,1041,1041,1041,1041,1041,1123,1123,1123,1123,1123,1123,1123
"Ballyhack, Wexford",189,189,189,189,189,189,189,189,207,207,207,207,207,207,207
"Ballyhahill, Limerick",137,137,137,137,137,137,137,137,170,170,170,170,170,170,170
"Ballyhaise, Cavan",597,597,597,597,597,597,597,597,620,620,620,620,620,620,620
"Ballyhale, Kilkenny",137,137,137,137,137,137,137,137,137,137,137,137,137,137,137
"Ballyhaunis, Mayo",1708,1708,1708,1708,1708,1708,1708,1708,2312,2312,2312,2312,2312,2312,2312
"Ballyheigue, Kerry",677,677,677,677,677,677,677,677,628,628,628,628,628,628,628
"Ballyhogue, Wexford",262,262,262,262,262,262,262,262,262,262,262,262,262,262,262
"Ballyhooly, Cork",215,215,215,215,215,215,215,215,412,412,412,412,412,412,412
"Ballyjamesduff, Cavan",1690,1690,1690,1690,1690,1690,1690,1690,2568,2568,2568,2568,2568,2568,2568
"Ballylanders, Limerick",319,319,319,319,319,319,319,319,331,331,331,331,331,331,331
"Ballyliffin, Donegal",357,357,357,357,357,357,357,357,461,461,461,461,461,461,461
"Ballylinan, Laois",754,754,754,754,754,754,754,754,1084,1084,1084,1084,1084,1084,1084
"Ballylongford, Kerry",406,406,406,406,406,406,406,406,418,418,418,418,418,418,418
"Ballymacarbry, Waterford",132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
"Ballymacoda, Cork",128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
"Ballymahon, Longford",963,963,963,963,963,963,963,963,1563,1563,1563,1563,1563,1563,1563
"Ballymore, Westmeath",289,289,289,289,289,289,289,289,433,433,433,433,433,433,433
"Ballymore Eustace, Kildare",725,725,725,725,725,725,725,725,872,872,872,872,872,872,872
"Ballymote, Sligo",1229,1229,1229,1229,1229,1229,1229,1229,1539,1539,1539,1539,1539,1539,1539
"Ballymurn, Wexford",464,464,464,464,464,464,464,464,464,464,464,464,464,464,464
"Ballynacargy, Westmeath",292,292,292,292,292,292,292,292,287,287,287,287,287,287,287
"Ballynoe, Cork",146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
"Ballynonty, South Tipperary",152,152,152,152,152,152,152,152,152,152,152,152,152,152,152
"Ballyoulster, Kildare",895,895,895,895,895,895,895,895,480,480,480,480,480,480,480
"Ballyporeen, South Tipperary",304,304,304,304,304,304,304,304,313,313,313,313,313,313,313
"Ballyragget, Kilkenny",1014,1014,1014,1014,1014,1014,1014,1014,1089,1089,1089,1089,1089,1089,1089
"Ballyroan, Laois",189,189,189,189,189,189,189,189,455,455,455,455,455,455,455
"Ballyroe, Kildare",202,202,202,202,202,202,202,202,191,191,191,191,191,191,191
"Ballysax, Kildare",270,270,270,270,270,270,270,270,333,333,333,333,333,333,333
"Ballyshannon Legal Town, Donegal",2004,2004,2004,2004,2004,2004,2004,2004,1855,1855,1855,1855,1855,1855,1855
"Ballyshannon Environs, Donegal",682,682,682,682,682,682,682,682,648,648,648,648,648,648,648
"Ballysimon, Wexford",223,223,223,223,223,223,223,223,311,311,311,311,311,311,311
"Ballytore, Kildare",445,445,445,445,445,445,445,445,685,685,685,685,685,685,685
"Ballyvaughan, Clare",224,224,224,224,224,224,224,224,258,258,258,258,258,258,258
"Balreask, Meath",212,212,212,212,212,212,212,212,212,212,212,212,212,212,212
"Balrothery, Fingal",1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866,1866
"Baltimore, Cork",377,377,377,377,377,377,377,377,347,347,347,347,347,347,347
"Baltinglass, Wicklow",1735,1735,1735,1735,1735,1735,1735,1735,2061,2061,2061,2061,2061,2061,2061
"Baltray, Louth",121,121,121,121,121,121,121,121,103,103,103,103,103,103,103
