,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Killucan-Rathwire, Westmeath",812,812,812,812,812,812,812,812,1226,1226,1226,1226,1226,1226,1226
"Killumney, Cork",809,809,809,809,809,809,809,809,1046,1046,1046,1046,1046,1046,1046
"Killurin, Offaly",163,163,163,163,163,163,163,163,163,163,163,163,163,163,163
"Killybegs, Donegal",1280,1280,1280,1280,1280,1280,1280,1280,1297,1297,1297,1297,1297,1297,1297
"Killygordan, Donegal",357,357,357,357,357,357,357,357,608,608,608,608,608,608,608
"Kilmacanogue, Wicklow",839,839,839,839,839,839,839,839,1028,1028,1028,1028,1028,1028,1028
"Kilmacow, Kilkenny",526,526,526,526,526,526,526,526,627,627,627,627,627,627,627
"Kilmacrennan, Donegal",575,575,575,575,575,575,575,575,685,685,685,685,685,685,685
"Kilmacthomas, Waterford",783,783,783,783,783,783,783,783,871,871,871,871,871,871,871
"Kilmaine, Mayo",142,142,142,142,142,142,142,142,166,166,166,166,166,166,166
"Kilmainham, Meath",330,330,330,330,330,330,330,330,312,312,312,312,312,312,312
"Kilmallock, Limerick",1443,1443,1443,1443,1443,1443,1443,1443,1635,1635,1635,1635,1635,1635,1635
"Kilmead, Kildare",138,138,138,138,138,138,138,138,299,299,299,299,299,299,299
"Kilmeaden, Waterford",193,193,193,193,193,193,193,193,193,193,193,193,193,193,193
"Kilmeage, Kildare",683,683,683,683,683,683,683,683,997,997,997,997,997,997,997
"Kilmessan, Meath",341,341,341,341,341,341,341,341,586,586,586,586,586,586,586
"Kilmihill, Clare",362,362,362,362,362,362,362,362,426,426,426,426,426,426,426
"Kilmoganny, Kilkenny",228,228,228,228,228,228,228,228,226,226,226,226,226,226,226
"Kilmore Quay, Wexford",396,396,396,396,396,396,396,396,400,400,400,400,400,400,400
"Kilmuckeridge (Ford), Wexford",467,467,467,467,467,467,467,467,654,654,654,654,654,654,654
"Kilmurry, Clare",278,278,278,278,278,278,278,278,291,291,291,291,291,291,291
"Kilmyshall, Wexford",140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
"Kilnaleck, Cavan",334,334,334,334,334,334,334,334,384,384,384,384,384,384,384
"Kilpedder, Wicklow",480,480,480,480,480,480,480,480,1287,1287,1287,1287,1287,1287,1287
"Kilrane, Wexford",432,432,432,432,432,432,432,432,594,594,594,594,594,594,594
"Kilrush Legal Town, Clare",2657,2657,2657,2657,2657,2657,2657,2657,2539,2539,2539,2539,2539,2539,2539
"Kilrush Environs, Clare",37,37,37,37,37,37,37,37,156,156,156,156,156,156,156
"Kilsheelan, South Tipperary",520,520,520,520,520,520,520,520,809,809,809,809,809,809,809
"Kilteel, Kildare",225,225,225,225,225,225,225,225,225,225,225,225,225,225,225
"Kilteely, Limerick",198,198,198,198,198,198,198,198,214,214,214,214,214,214,214
"Kiltimagh, Mayo",1096,1096,1096,1096,1096,1096,1096,1096,1127,1127,1127,1127,1127,1127,1127
"Kilworth, Cork",645,645,645,645,645,645,645,645,974,974,974,974,974,974,974
"Kingscourt, Cavan",1748,1748,1748,1748,1748,1748,1748,1748,2326,2326,2326,2326,2326,2326,2326
"Kinlough, Leitrim",690,690,690,690,690,690,690,690,1018,1018,1018,1018,1018,1018,1018
"Kinnegad, Westmeath",2245,2245,2245,2245,2245,2245,2245,2245,2662,2662,2662,2662,2662,2662,2662
"Kinnitty, Offaly",333,333,333,333,333,333,333,333,359,359,359,359,359,359,359
"Kinsale Legal Town, Cork",2298,2298,2298,2298,2298,2298,2298,2298,2198,2198,2198,2198,2198,2198,2198
"Kinsale Environs, Cork",1801,1801,1801,1801,1801,1801,1801,1801,2695,2695,2695,2695,2695,2695,2695
"Kinsaley, Fingal",214,214,214,214,214,214,214,214,214,214,214,214,214,214,214
"Kinsealy-Drinan, Fingal",3651,3651,3651,3651,3651,3651,3651,3651,5814,5814,5814,5814,5814,5814,5814
"Kinvara, Galway",563,563,563,563,563,563,563,563,620,620,620,620,620,620,620
"Knightstown, Kerry",156,156,156,156,156,156,156,156,215,215,215,215,215,215,215
"Knock, Mayo",745,745,745,745,745,745,745,745,811,811,811,811,811,811,811
"Knockananna, Wicklow",141,141,141,141,141,141,141,141,141,141,141,141,141,141,141
"Knockbridge, Louth",427,427,427,427,427,427,427,427,583,583,583,583,583,583,583
"Knockcroghery, Roscommon",307,307,307,307,307,307,307,307,307,307,307,307,307,307,307
"Knockglass, Cork",288,288,288,288,288,288,288,288,443,443,443,443,443,443,443
"Knocklong, Limerick",239,239,239,239,239,239,239,239,265,265,265,265,265,265,265
"Knocknagree, Cork",189,189,189,189,189,189,189,189,199,199,199,199,199,199,199
"Knockraha, Cork",230,230,230,230,230,230,230,230,341,341,341,341,341,341,341
"Knocktopher, Kilkenny",144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
"Lackaghbeg, Galway",446,446,446,446,446,446,446,446,504,504,504,504,504,504,504
"Ladytown, Kildare",358,358,358,358,358,358,358,358,452,452,452,452,452,452,452
"Laghy, Donegal",169,169,169,169,169,169,169,169,197,197,197,197,197,197,197
"Lahardane, Mayo",156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
"Lahinch, Clare",607,607,607,607,607,607,607,607,642,642,642,642,642,642,642
"Lanesborough-Ballyleague, Longford and Roscommon",1112,1112,1112,1112,1112,1112,1112,1112,1377,1377,1377,1377,1377,1377,1377
"Laragh, Wicklow",378,378,378,378,378,378,378,378,340,340,340,340,340,340,340
Lawcus Kilkenny,342,342,342,342,342,342,342,342,355,355,355,355,355,355,355
"Laytown-Bettystown-Mornington, Meath",8978,8978,8978,8978,8978,8978,8978,8978,10889,10889,10889,10889,10889,10889,10889
"Leap, Cork",242,242,242,242,242,242,242,242,240,240,240,240,240,240,240
"Legan, Longford",199,199,199,199,199,199,199,199,199,199,199,199,199,199,199
"Leighlinbridge, Carlow",674,674,674,674,674,674,674,674,828,828,828,828,828,828,828
"Leitrim, Leitrim",258,258,258,258,258,258,258,258,485,485,485,485,485,485,485
"Leixlip Legal Town, Kildare",14676,14676,14676,14676,14676,14676,14676,14676,15452,15452,15452,15452,15452,15452,15452
"Lemybrien, Waterford",194,194,194,194,194,194,194,194,206,206,206,206,206,206,206
"Letterfrack, Galway",192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
"Letterkenny Legal Town, Donegal",15062,15062,15062,15062,15062,15062,15062,15062,15387,15387,15387,15387,15387,15387,15387
"Letterkenny Environs, Donegal",2524,2524,2524,2524,2524,2524,2524,2524,4201,4201,4201,4201,4201,4201,4201
"Lifford, Donegal",1448,1448,1448,1448,1448,1448,1448,1448,1658,1658,1658,1658,1658,1658,1658
"Limerick City, Limerick",52539,52539,52539,52539,52539,52539,52539,52539,57106,57106,57106,57106,57106,57106,57106
"Limerick Suburbs, Limerick and Clare",38218,38218,38218,38218,38218,38218,38218,38218,34348,34348,34348,34348,34348,34348,34348
"Liscannor, Clare",71,71,71,71,71,71,71,71,129,129,129,129,129,129,129
"Liscarroll, Cork",256,256,256,256,256,256,256,256,230,230,230,230,230,230,230
"Lisdoonvarna, Clare",767,767,767,767,767,767,767,767,739,739,739,739,739,739,739
"Lismore Legal Town, Waterford",790,790,790,790,790,790,790,790,732,732,732,732,732,732,732
"Lismore Environs, Waterford",450,450,450,450,450,450,450,450,637,637,637,637,637,637,637
"Lisronagh, South Tipperary",187,187,187,187,187,187,187,187,187,187,187,187,187,187,187
"Lissycasey, Clare",308,308,308,308,308,308,308,308,308,308,308,308,308,308,308
"Listowel Legal Town, Kerry",3901,3901,3901,3901,3901,3901,3901,3901,4205,4205,4205,4205,4205,4205,4205
"Listowel Environs, Kerry",437,437,437,437,437,437,437,437,627,627,627,627,627,627,627
"Littleton, North Tipperary",463,463,463,463,463,463,463,463,410,410,410,410,410,410,410
"Lixnaw, Kerry",431,431,431,431,431,431,431,431,634,634,634,634,634,634,634
"Loch an Iúir, Donegal",307,307,307,307,307,307,307,307,337,337,337,337,337,337,337
"Longford Legal Town, Longford",7622,7622,7622,7622,7622,7622,7622,7622,8002,8002,8002,8002,8002,8002,8002
"Longford Environs, Longford",1214,1214,1214,1214,1214,1214,1214,1214,1599,1599,1599,1599,1599,1599,1599
"Longwood, Meath",877,877,877,877,877,877,877,877,1378,1378,1378,1378,1378,1378,1378
"Loughglinn, Roscommon",208,208,208,208,208,208,208,208,204,204,204,204,204,204,204
"Loughrea Legal Town, Galway",4532,4532,4532,4532,4532,4532,4532,4532,5062,5062,5062,5062,5062,5062,5062
"Loughshinny, Fingal",641,641,641,641,641,641,641,641,670,670,670,670,670,670,670
"Lough Gowna, Cavan",123,123,123,123,123,123,123,123,161,161,161,161,161,161,161
"Louisburgh, Mayo",314,314,314,314,314,314,314,314,422,422,422,422,422,422,422
"Louth, Louth",549,549,549,549,549,549,549,549,715,715,715,715,715,715,715
"Lusk, Fingal",5236,5236,5236,5236,5236,5236,5236,5236,7022,7022,7022,7022,7022,7022,7022
"Lyre, Cork",134,134,134,134,134,134,134,134,134,134,134,134,134,134,134
"Macroom Legal Town, Cork",3407,3407,3407,3407,3407,3407,3407,3407,3738,3738,3738,3738,3738,3738,3738
"Macroom Environs, Cork",146,146,146,146,146,146,146,146,141,141,141,141,141,141,141
"Maddenstown, Kildare",154,154,154,154,154,154,154,154,145,145,145,145,145,145,145
"Maigh Cuilinn, Galway",1237,1237,1237,1237,1237,1237,1237,1237,1559,1559,1559,1559,1559,1559,1559
"Malahide, Fingal",14937,14937,14937,14937,14937,14937,14937,14937,15846,15846,15846,15846,15846,15846,15846
"Malin, Donegal",122,122,122,122,122,122,122,122,106,106,106,106,106,106,106
"Mallow Legal Town, Cork",7864,7864,7864,7864,7864,7864,7864,7864,8578,8578,8578,8578,8578,8578,8578
"Mallow Environs, Cork",2377,2377,2377,2377,2377,2377,2377,2377,3027,3027,3027,3027,3027,3027,3027
"Manorcunningham, Donegal",414,414,414,414,414,414,414,414,643,643,643,643,643,643,643
"Manorhamilton, Leitrim",1158,1158,1158,1158,1158,1158,1158,1158,1336,1336,1336,1336,1336,1336,1336
"Manor Kilbride, Wicklow",281,281,281,281,281,281,281,281,281,281,281,281,281,281,281
"Maynooth, Kildare",10715,10715,10715,10715,10715,10715,10715,10715,12510,12510,12510,12510,12510,12510,12510
"Meathas Truim (Edgeworthstown), Longford",1221,1221,1221,1221,1221,1221,1221,1221,1744,1744,1744,1744,1744,1744,1744
"Midleton Legal Town, Cork",3934,3934,3934,3934,3934,3934,3934,3934,3733,3733,3733,3733,3733,3733,3733
"Midleton Environs, Cork",6114,6114,6114,6114,6114,6114,6114,6114,8268,8268,8268,8268,8268,8268,8268
"Milford, Cork",176,176,176,176,176,176,176,176,251,251,251,251,251,251,251
"Milford, Donegal",829,829,829,829,829,829,829,829,970,970,970,970,970,970,970
"Millstreet, Cork",1401,1401,1401,1401,1401,1401,1401,1401,1574,1574,1574,1574,1574,1574,1574
"Milltown, Kerry",415,415,415,415,415,415,415,415,838,838,838,838,838,838,838
"Milltown, Kildare",242,242,242,242,242,242,242,242,365,365,365,365,365,365,365
"Milltown, Galway",199,199,199,199,199,199,199,199,199,199,199,199,199,199,199
"Miltown Malbay, Clare",570,570,570,570,570,570,570,570,777,777,777,777,777,777,777
"Mín Lárach, Donegal",372,372,372,372,372,372,372,372,442,442,442,442,442,442,442
"Mitchelstown, Cork",3365,3365,3365,3365,3365,3365,3365,3365,3677,3677,3677,3677,3677,3677,3677
"Moate, Westmeath",1888,1888,1888,1888,1888,1888,1888,1888,2731,2731,2731,2731,2731,2731,2731
"Model Village (Dripsey), Cork",304,304,304,304,304,304,304,304,345,345,345,345,345,345,345
"Mogeely, Cork",327,327,327,327,327,327,327,327,327,327,327,327,327,327,327
"Mohill, Leitrim",931,931,931,931,931,931,931,931,928,928,928,928,928,928,928
"Monaghan Legal Town, Monaghan",6221,6221,6221,6221,6221,6221,6221,6221,6637,6637,6637,6637,6637,6637,6637
"Monaghan Environs, Monaghan",489,489,489,489,489,489,489,489,815,815,815,815,815,815,815
"Monard, South Tipperary",205,205,205,205,205,205,205,205,205,205,205,205,205,205,205
"Monasterevin, Kildare",3017,3017,3017,3017,3017,3017,3017,3017,3710,3710,3710,3710,3710,3710,3710
"Moneenroe, Kilkenny",688,688,688,688,688,688,688,688,761,761,761,761,761,761,761
"Moneygall, Offaly",298,298,298,298,298,298,298,298,310,310,310,310,310,310,310
"Monivea, Galway",337,337,337,337,337,337,337,337,296,296,296,296,296,296,296
"Mooncoin, Kilkenny",1002,1002,1002,1002,1002,1002,1002,1002,1166,1166,1166,1166,1166,1166,1166
"Moroe, Limerick",624,624,624,624,624,624,624,624,1271,1271,1271,1271,1271,1271,1271
"Mount Bellew, Galway",746,746,746,746,746,746,746,746,784,784,784,784,784,784,784
"Mountcharles, Donegal",497,497,497,497,497,497,497,497,468,468,468,468,468,468,468
"Mountcollins, Limerick",221,221,221,221,221,221,221,221,216,216,216,216,216,216,216
"Mountmellick Legal Town, Laois",2872,2872,2872,2872,2872,2872,2872,2872,2998,2998,2998,2998,2998,2998,2998
"Mountmellick Environs, Laois",1197,1197,1197,1197,1197,1197,1197,1197,1737,1737,1737,1737,1737,1737,1737
"Mountshannon, Clare",133,133,133,133,133,133,133,133,152,152,152,152,152,152,152
"Mountrath, Laois",1435,1435,1435,1435,1435,1435,1435,1435,1661,1661,1661,1661,1661,1661,1661
"Moville, Donegal",1427,1427,1427,1427,1427,1427,1427,1427,1481,1481,1481,1481,1481,1481,1481
"Moylough, Galway",357,357,357,357,357,357,357,357,503,503,503,503,503,503,503
"Mucklagh, Offaly",708,708,708,708,708,708,708,708,810,810,810,810,810,810,810
"Muff, Donegal",947,947,947,947,947,947,947,947,1271,1271,1271,1271,1271,1271,1271
"Muinebeag (Bagenalstown), Legal Town, Carlow",2532,2532,2532,2532,2532,2532,2532,2532,2775,2775,2775,2775,2775,2775,2775
"Muinebeag (Bagenalstown), Environs, Carlow",203,203,203,203,203,203,203,203,175,175,175,175,175,175,175
"Mullagh, Cavan",679,679,679,679,679,679,679,679,1137,1137,1137,1137,1137,1137,1137
"Mullaghmore, Sligo",147,147,147,147,147,147,147,147,128,128,128,128,128,128,128
"Mullinahone, South Tipperary",372,372,372,372,372,372,372,372,481,481,481,481,481,481,481
"Mullinavat, Kilkenny",255,255,255,255,255,255,255,255,259,259,259,259,259,259,259
"Mullingar Legal Town, Westmeath",8940,8940,8940,8940,8940,8940,8940,8940,9414,9414,9414,9414,9414,9414,9414
"Mullingar Environs, Westmeath",9476,9476,9476,9476,9476,9476,9476,9476,10689,10689,10689,10689,10689,10689,10689
"Mulranny, Mayo",242,242,242,242,242,242,242,242,242,242,242,242,242,242,242
"Multyfarnham, Westmeath",193,193,193,193,193,193,193,193,376,376,376,376,376,376,376
"Mungret, Limerick",252,252,252,252,252,252,252,252,286,286,286,286,286,286,286
"Murntown, Wexford",347,347,347,347,347,347,347,347,363,363,363,363,363,363,363
"Myshall, Carlow",200,200,200,200,200,200,200,200,302,302,302,302,302,302,302
"Naas Legal Town, Kildare",20044,20044,20044,20044,20044,20044,20044,20044,20713,20713,20713,20713,20713,20713,20713
"Na Forbacha, Galway",175,175,175,175,175,175,175,175,308,308,308,308,308,308,308
"Narraghmore, Kildare",345,345,345,345,345,345,345,345,345,345,345,345,345,345,345
"Naul, Fingal",196,196,196,196,196,196,196,196,445,445,445,445,445,445,445
"Navan (An Uaimh), Legal Town, Meath",3710,3710,3710,3710,3710,3710,3710,3710,28158,28158,28158,28158,28158,28158,28158
"Navan (An Uaimh), Environs, Meath",21141,21141,21141,21141,21141,21141,21141,21141,401,401,401,401,401,401,401
"Nenagh Legal Town, North Tipperary",7415,7415,7415,7415,7415,7415,7415,7415,8023,8023,8023,8023,8023,8023,8023
"Nenagh Environs, North Tipperary",336,336,336,336,336,336,336,336,416,416,416,416,416,416,416
"Newbawn, Wexford",204,204,204,204,204,204,204,204,184,184,184,184,184,184,184
"Newbliss, Monaghan",317,317,317,317,317,317,317,317,331,331,331,331,331,331,331
"Newcastle, South Dublin",1506,1506,1506,1506,1506,1506,1506,1506,2659,2659,2659,2659,2659,2659,2659
"Newcastle, South Tipperary",245,245,245,245,245,245,245,245,328,328,328,328,328,328,328
"Newcastle, Wicklow",837,837,837,837,837,837,837,837,951,951,951,951,951,951,951
"Newcastle West, Limerick",5098,5098,5098,5098,5098,5098,5098,5098,6327,6327,6327,6327,6327,6327,6327
"Newmarket, Cork",949,949,949,949,949,949,949,949,988,988,988,988,988,988,988
"Newmarket-on-Fergus, Clare",1542,1542,1542,1542,1542,1542,1542,1542,1773,1773,1773,1773,1773,1773,1773
"Newport, Mayo",590,590,590,590,590,590,590,590,616,616,616,616,616,616,616
"Newport, North Tipperary",1286,1286,1286,1286,1286,1286,1286,1286,1806,1806,1806,1806,1806,1806,1806
"New Ross Legal Town, Wexford",4677,4677,4677,4677,4677,4677,4677,4677,4533,4533,4533,4533,4533,4533,4533
"New Ross Environs, Kilkenny and Wexford",3032,3032,3032,3032,3032,3032,3032,3032,3618,3618,3618,3618,3618,3618,3618
"Newtown, Cork",321,321,321,321,321,321,321,321,405,405,405,405,405,405,405
"Newtown, Laois",222,222,222,222,222,222,222,222,246,246,246,246,246,246,246
"Newtown, North Tipperary",191,191,191,191,191,191,191,191,296,296,296,296,296,296,296
"Newtowncunningham, Donegal",999,999,999,999,999,999,999,999,1067,1067,1067,1067,1067,1067,1067
"Newtownforbes, Longford",668,668,668,668,668,668,668,668,759,759,759,759,759,759,759
"Newtownmountkennedy, Wicklow",2548,2548,2548,2548,2548,2548,2548,2548,2410,2410,2410,2410,2410,2410,2410
"Newtownsandes, Kerry",387,387,387,387,387,387,387,387,401,401,401,401,401,401,401
"Nobber, Meath",233,233,233,233,233,233,233,233,357,357,357,357,357,357,357
"Nurney, Kildare",354,354,354,354,354,354,354,354,389,389,389,389,389,389,389
"O'Briensbridge-Montpelier, Clare and Limerick",378,378,378,378,378,378,378,378,383,383,383,383,383,383,383
"Oilgate, Wexford",324,324,324,324,324,324,324,324,385,385,385,385,385,385,385
"Oldcastle, Meath",1316,1316,1316,1316,1316,1316,1316,1316,1384,1384,1384,1384,1384,1384,1384
"Oldtown, Fingal",220,220,220,220,220,220,220,220,455,455,455,455,455,455,455
"Omeath, Louth",439,439,439,439,439,439,439,439,503,503,503,503,503,503,503
"Oola, Limerick",386,386,386,386,386,386,386,386,311,311,311,311,311,311,311
"Oram, Monaghan",145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
"Oranmore, Galway",3513,3513,3513,3513,3513,3513,3513,3513,4799,4799,4799,4799,4799,4799,4799
"Oughterard, Galway",1305,1305,1305,1305,1305,1305,1305,1305,1333,1333,1333,1333,1333,1333,1333
"Oulart, Wexford",197,197,197,197,197,197,197,197,257,257,257,257,257,257,257
"Palatine, Carlow",351,351,351,351,351,351,351,351,351,351,351,351,351,351,351
"Pallas Grean, Limerick",359,359,359,359,359,359,359,359,589,589,589,589,589,589,589
"Pallaskenry, Limerick",534,534,534,534,534,534,534,534,664,664,664,664,664,664,664
"Passage East, Waterford",644,644,644,644,644,644,644,644,806,806,806,806,806,806,806
"Passage West Legal Town, Cork",4818,4818,4818,4818,4818,4818,4818,4818,5122,5122,5122,5122,5122,5122,5122
"Passage West Environs, Cork",385,385,385,385,385,385,385,385,668,668,668,668,668,668,668
"Patrickswell, Limerick",924,924,924,924,924,924,924,924,841,841,841,841,841,841,841
"Paulstown, Kilkenny",598,598,598,598,598,598,598,598,791,791,791,791,791,791,791
"Pettigo (pt.) (a), Donegal",280,280,280,280,280,280,280,280,239,239,239,239,239,239,239
"Piercetown, Wexford",528,528,528,528,528,528,528,528,555,555,555,555,555,555,555
"Piltown, Kilkenny",968,968,968,968,968,968,968,968,1187,1187,1187,1187,1187,1187,1187
"Pollagh, Offaly",229,229,229,229,229,229,229,229,251,251,251,251,251,251,251
"Portarlington, Laois and Offaly",6004,6004,6004,6004,6004,6004,6004,6004,7788,7788,7788,7788,7788,7788,7788
"Portlaoise (Maryborough), Legal Town, Laois",3281,3281,3281,3281,3281,3281,3281,3281,3639,3639,3639,3639,3639,3639,3639
"Portlaoise (Maryborough), Environs, Laois",11332,11332,11332,11332,11332,11332,11332,11332,16506,16506,16506,16506,16506,16506,16506
"Portlaw, Waterford",1495,1495,1495,1495,1495,1495,1495,1495,1696,1696,1696,1696,1696,1696,1696
"Portmagee, Kerry",109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
"Portmarnock, Fingal",8979,8979,8979,8979,8979,8979,8979,8979,9285,9285,9285,9285,9285,9285,9285
"Portrane, Fingal",1532,1532,1532,1532,1532,1532,1532,1532,1372,1372,1372,1372,1372,1372,1372
"Portroe, North Tipperary",454,454,454,454,454,454,454,454,468,468,468,468,468,468,468
"Portumna, Galway",1377,1377,1377,1377,1377,1377,1377,1377,1530,1530,1530,1530,1530,1530,1530
"Prosperous, Kildare",1939,1939,1939,1939,1939,1939,1939,1939,2248,2248,2248,2248,2248,2248,2248
"Puckaun, North Tipperary",239,239,239,239,239,239,239,239,273,273,273,273,273,273,273
"Quigleys Point, Donegal",227,227,227,227,227,227,227,227,227,227,227,227,227,227,227
"Quilty, Clare",194,194,194,194,194,194,194,194,181,181,181,181,181,181,181
"Quin, Clare",565,565,565,565,565,565,565,565,935,935,935,935,935,935,935
"Raharney, Westmeath",231,231,231,231,231,231,231,231,227,227,227,227,227,227,227
"Ramelton, Donegal",1088,1088,1088,1088,1088,1088,1088,1088,1212,1212,1212,1212,1212,1212,1212
"Rann na Feirste, Donegal",319,319,319,319,319,319,319,319,352,352,352,352,352,352,352
"Raphoe, Donegal",1065,1065,1065,1065,1065,1065,1065,1065,1157,1157,1157,1157,1157,1157,1157
"Rathangan, Kildare",1718,1718,1718,1718,1718,1718,1718,1718,2374,2374,2374,2374,2374,2374,2374
"Rathard, Cork",389,389,389,389,389,389,389,389,560,560,560,560,560,560,560
"Rathcoole, South Dublin",2927,2927,2927,2927,2927,2927,2927,2927,3421,3421,3421,3421,3421,3421,3421
"Rathcoole, Cork",198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
"Rathcormac, Cork",1072,1072,1072,1072,1072,1072,1072,1072,1534,1534,1534,1534,1534,1534,1534
"Rathdowney, Laois",1212,1212,1212,1212,1212,1212,1212,1212,1208,1208,1208,1208,1208,1208,1208
"Rathdrum, Wicklow",1405,1405,1405,1405,1405,1405,1405,1405,1586,1586,1586,1586,1586,1586,1586
"Rathkeale, Limerick",1494,1494,1494,1494,1494,1494,1494,1494,1550,1550,1550,1550,1550,1550,1550
"Rathluirc (Charleville), Cork and Limerick",2984,2984,2984,2984,2984,2984,2984,2984,3672,3672,3672,3672,3672,3672,3672
"Rathmolyon, Meath",168,168,168,168,168,168,168,168,298,298,298,298,298,298,298
"Rathmore, Kerry",611,611,611,611,611,611,611,611,778,778,778,778,778,778,778
"Rathmullen, Donegal",469,469,469,469,469,469,469,469,518,518,518,518,518,518,518
"Rathnew, Wicklow",1849,1849,1849,1849,1849,1849,1849,1849,2964,2964,2964,2964,2964,2964,2964
"Rathtoe, Carlow",303,303,303,303,303,303,303,303,303,303,303,303,303,303,303
"Rathvilly, Carlow",796,796,796,796,796,796,796,796,881,881,881,881,881,881,881
"Ratoath, Meath",7249,7249,7249,7249,7249,7249,7249,7249,9043,9043,9043,9043,9043,9043,9043
"Reardnogy, North Tipperary",137,137,137,137,137,137,137,137,176,176,176,176,176,176,176
"Redcross, Wicklow",196,196,196,196,196,196,196,196,241,241,241,241,241,241,241
"Rhode, Offaly",778,778,778,778,778,778,778,778,778,778,778,778,778,778,778
"Ringaskiddy (Loughbeg), Cork",514,514,514,514,514,514,514,514,478,478,478,478,478,478,478
"Rivermeade, Fingal",615,615,615,615,615,615,615,615,543,543,543,543,543,543,543
"Riverstick, Cork",592,592,592,592,592,592,592,592,592,592,592,592,592,592,592
"Riverstown, Sligo",310,310,310,310,310,310,310,310,374,374,374,374,374,374,374
"Robertstown, Kildare",621,621,621,621,621,621,621,621,669,669,669,669,669,669,669
"Rochfortbridge, Westmeath",1473,1473,1473,1473,1473,1473,1473,1473,1494,1494,1494,1494,1494,1494,1494
"Rockcorry, Monaghan",292,292,292,292,292,292,292,292,310,310,310,310,310,310,310
"Roosky, Leitrim and Roscommon",329,329,329,329,329,329,329,329,523,523,523,523,523,523,523
"Roscommon, Roscommon",5017,5017,5017,5017,5017,5017,5017,5017,5693,5693,5693,5693,5693,5693,5693
"Roscrea, North Tipperary",4910,4910,4910,4910,4910,4910,4910,4910,5403,5403,5403,5403,5403,5403,5403
"Rosegreen, South Tipperary",201,201,201,201,201,201,201,201,170,170,170,170,170,170,170
"Rosscahill, Galway",240,240,240,240,240,240,240,240,295,295,295,295,295,295,295
"Rosscarbery, Cork",507,507,507,507,507,507,507,507,534,534,534,534,534,534,534
"Rosses Point, Sligo",872,872,872,872,872,872,872,872,824,824,824,824,824,824,824
"Rosslare, Wexford",1359,1359,1359,1359,1359,1359,1359,1359,1547,1547,1547,1547,1547,1547,1547
"Roundstone, Galway",207,207,207,207,207,207,207,207,245,245,245,245,245,245,245
"Roundwood, Wicklow",589,589,589,589,589,589,589,589,833,833,833,833,833,833,833
"Rush, Fingal",8286,8286,8286,8286,8286,8286,8286,8286,9231,9231,9231,9231,9231,9231,9231
"Saggart, South Dublin",868,868,868,868,868,868,868,868,2144,2144,2144,2144,2144,2144,2144
"St. Johnston, Donegal",479,479,479,479,479,479,479,479,583,583,583,583,583,583,583
"Saleen, Cork",374,374,374,374,374,374,374,374,374,374,374,374,374,374,374
"Sallins, Kildare",3806,3806,3806,3806,3806,3806,3806,3806,5283,5283,5283,5283,5283,5283,5283
"Scarriff, Clare",798,798,798,798,798,798,798,798,816,816,816,816,816,816,816
"Schull, Cork",576,576,576,576,576,576,576,576,658,658,658,658,658,658,658
"Scotstown, Monaghan",250,250,250,250,250,250,250,250,370,370,370,370,370,370,370
"Shanagarry, Cork",297,297,297,297,297,297,297,297,414,414,414,414,414,414,414
"Shanagolden, Limerick",292,292,292,292,292,292,292,292,294,294,294,294,294,294,294
"Shanbally, Cork",337,337,337,337,337,337,337,337,337,337,337,337,337,337,337
"Shanballymore, Cork",160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
"Shannon Legal Town, Clare",8481,8481,8481,8481,8481,8481,8481,8481,9673,9673,9673,9673,9673,9673,9673
"Shannon Environs, Clare",741,741,741,741,741,741,741,741,741,741,741,741,741,741,741
"Shannonbridge, Offaly",221,221,221,221,221,221,221,221,206,206,206,206,206,206,206
"Shercock, Cavan",461,461,461,461,461,461,461,461,531,531,531,531,531,531,531
"Shillelagh, Wicklow",311,311,311,311,311,311,311,311,341,341,341,341,341,341,341
"Shinrone, Offaly",591,591,591,591,591,591,591,591,634,634,634,634,634,634,634
"Shrule, Mayo",425,425,425,425,425,425,425,425,418,418,418,418,418,418,418
"Silvermines, North Tipperary",269,269,269,269,269,269,269,269,288,288,288,288,288,288,288
"Sixmilebridge, Clare",1659,1659,1659,1659,1659,1659,1659,1659,2507,2507,2507,2507,2507,2507,2507
"Skerries, Fingal",9535,9535,9535,9535,9535,9535,9535,9535,9671,9671,9671,9671,9671,9671,9671
"Skibbereen Legal Town, Cork",2338,2338,2338,2338,2338,2338,2338,2338,2568,2568,2568,2568,2568,2568,2568
"Skibbereen Environs, Cork",102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
"Slane, Meath",1099,1099,1099,1099,1099,1099,1099,1099,1349,1349,1349,1349,1349,1349,1349
"Slieverue, Kilkenny",484,484,484,484,484,484,484,484,499,499,499,499,499,499,499
"Sligo Borough, Sligo",17892,17892,17892,17892,17892,17892,17892,17892,17568,17568,17568,17568,17568,17568,17568
